Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Instituição Beneficiária Macro;Chamada Divulgação;Modalidade Bolsa;Grande Área;Área;Qtd Bolsas
2007;Atendimento;Centro-Oeste;DF;Centro Universitario de Brasilia;Produtividade em Pesquisa - PQ - 2007;Produtividade em Pesquisa;Ciências Sociais Aplicadas;Direito;1
2007;Atendimento;Centro-Oeste;DF;Comissao Executiva do Plano da Lavoura Cacaueira;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Biológicas;Zoologia;1
2007;Atendimento;Centro-Oeste;DF;Companhia de Pesquisa de Recursos Minerais;Produtividade em Pesquisa - PQ - 2007;Produtividade em Pesquisa;Ciências Exatas e da Terra;Geociências;1
2007;Atendimento;Centro-Oeste;DF;DNA Tech - Exame Molecular;Pós-doutorado Empresarial - PDI;Pós-Doutorado Empresarial;Ciências Biológicas;Imunologia;1
2007;Atendimento;Centro-Oeste;DF;Embrapa;Produtividade em Pesquisa - PQ - 2007;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;1
2007;Atendimento;Centro-Oeste;DF;Embrapa Cerrados;Produtividade em Pesquisa - PQ - 2007;Produtividade em Pesquisa;Ciências Agrárias;Agronomia;1
2007;Atendimento;Centro-Oeste;DF;Embrapa Cerrados;Produtividade em Pesquisa - PQ - 2007;Produtividade em Pesquisa;Ciências Agrárias;Zootecnia;1
2007;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;GM 06/2006;Mestrado;Ciências Biológicas;Farmacologia;3
2007;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;IC 99/2001;Iniciação Científica;Ciências Agrárias;Agronomia;354
2007;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Empresarial - PDI;Pós-Doutorado Empresarial;Ciências Agrárias;Agronomia;1
2007;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Empresarial - PDI;Pós-Doutorado Empresarial;Ciências Biológicas;Genética;4
2007;Atendimento;Centro-Oeste;DF;Empresa Brasileira de Pesquisa Agropecuaria;Pós-doutorado Júnior - PDJ;Pós-Doutorado Júnior;Ciências Agrárias;Agronomia;6
