Ano Fase;Fase Estat;Região Inst Benef Macro;UF Instituição Benef Macro;Modalidade;Chamada Divulgação;Chamada;Grande Área;Área;Qtd Propostas;Valor Bolsa (R$);Valor OCC (R$);Total Geral (R$)
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 04/2012 - Cooperação CNPq / Instituto Holandês de Polímeros - Universidade Técnica de Eindhoven;CHAMADA  n° 04/2012 - CNPq/DPI-TUe (Holanda);Ciências Biológicas;Bioquímica;1;119607;28550;148157
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 39/2012 - Programa Arquipélago e Ilhas Oceânicas;Chamada CNPq Nº 39/2012 - Programa Arquipélago e Ilhas Oceânicas;Ciências Agrárias;Agronomia;1;17280;66250;83530
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq Nº 39/2012 - Programa Arquipélago e Ilhas Oceânicas;Chamada CNPq Nº 39/2012 - Programa Arquipélago e Ilhas Oceânicas;Ciências Biológicas;Botânica;2;83700;94892;178592
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/BBSRC Nº 43/2012;Chamada CNPq/BBSRC n° 43/2012 - Segurança Alimentar, Bioenergia e Biotecnologia Industrial;Ciências Agrárias;Agronomia;1;94498;40246;134744
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MDA-INCRA Nº 26/2012;Chamada CNPq/MDA/-INCRA nº 26/2012;Ciências Agrárias;Agronomia;1;829920;494850;1324770
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MDS-SESAN Nº 27/2012;Chamada CNPq/MDS-SESAN N º 027/2012;Ciências da Saúde;Nutrição;2;75120;140131;215251
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MPA - Nº 42/2012;Chamada nº 42/2012 - Linha II - Aquicultura;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;2;56880;111860;168740
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/MPA - Nº 42/2012;Chamada nº 42/2012 - Linha III - Processamento e Sanidade Aquícola e Pesqueira;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;1;59040;180465;239505
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Ciências Agrárias;Engenharia Agrícola;1;16848;9693;26541
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Ciências Agrárias;Recursos Florestais e Engenharia Florestal;1;16848;10000;26848
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Ciências Exatas e da Terra;Ciência da Computação;3;48612;29971;78583
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Ciências Exatas e da Terra;Ciências Ambientais;1;16848;10000;26848
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Aeroespacial;2;33696;20000;53696
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Biomédica;1;16848;10000;26848
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia de Produção;1;16848;9700;26548
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Elétrica;2;29832;16898;46730
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Mecânica;8;123192;79592;202784
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Mecatrônica;1;16848;10000;26848
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Engenharia Química;3;46680;30000;76680
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada CNPq/VALE SA Nº 05/2012 - Forma - Engenharia;Chamada CNPq/VALE SA N° 05/2012 - FORMA-ENGENHARIA;Engenharias;Química Industrial;2;25968;19229;45197
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MCTI/CNPq-ISTPCanada Nº 19/2012;Chamada N° 19/2012 MCTI/CNPq-ISTPCanada;Ciências Agrárias;Recursos Pesqueiros e Engenharia de Pesca;1;22324;142711;165036
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MCTI/CNPq-ISTPCanada Nº 19/2012;Chamada N° 19/2012 MCTI/CNPq-ISTPCanada;Ciências da Saúde;Farmácia;1;73711;199360;273071
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MCTI/CNPq-ISTPCanada Nº 19/2012;Chamada N° 19/2012 MCTI/CNPq-ISTPCanada;Ciências Exatas e da Terra;Química;1;36074;198930;235004
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MCTI/CNPq-ISTPCanada Nº 19/2012;Chamada N° 19/2012 MCTI/CNPq-ISTPCanada;Ciências Humanas;Educação;1;104196;59700;163896
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 21 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Agrárias;Agronomia;3;746600;89500;836100
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 21 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Agrárias;Engenharia Agrícola;1;277400;25500;302900
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 21 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Agrárias;Zootecnia;1;221128;60000;281128
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 21 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Biológicas;Ecologia;1;106600;17100;123700
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 60/2011;Linha 21 - Atração de Jovens Talentos - Pesquisador Colaborador no Brasil - BJT;Ciências Biológicas;Zoologia;2;551920;89414;641334
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 1 - Bolsa Pesquisador Visitante Especial;Ciências Agrárias;Agronomia;1;235406;148000;383406
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 1 - Bolsa Pesquisador Visitante Especial;Ciências Biológicas;Microbiologia;1;151784;100000;251784
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 1 - Bolsa Pesquisador Visitante Especial;Ciências Exatas e da Terra;Ciência da Computação;2;242920;54480;297400
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 1 - Bolsa Pesquisador Visitante Especial;Ciências Exatas e da Terra;Geociências;1;52000;125775;177775
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências Agrárias;Agronomia;6;994872;288949;1283821
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências Agrárias;Ciência e Tecnologia de Alimentos;1;141175;110000;251175
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências Biológicas;Genética;9;1196249;712502;1908751
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências da Saúde;Fisioterapia e Terapia Ocupacional;1;210700;34200;244900
2012;Atendimento;Centro-Oeste;DF;Auxílio a Pesquisa;Chamada de Projetos MEC/MCTI/Capes/CNPq/Faps Nº 61/2011;Linha 2 - Bolsa Pesquisador Visitante Especial;Ciências Exatas e da Terra;Geociências;2;433733;256309;690041
